color,fuelTypeId,id,km,make,makeId,province,provinceId,title,transmissionType,transmissionTypeId,year,brand,brand_id,model,model_id,price,seller_type,bodyType,cubicCapacity,doors,hp,acceleration,consumptionAverage,consumptionExtraUrban,consumptionUrban,emissions,fuelTankCapacity,height,length,luggageCapacity,manufacturerPrice,seats,topSpeed,weight,width
COMMON.COLOR_BLUE,1,51309892,79990,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 118kW 160CV Executive RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,29490,profesional,BODY_TYPE_4X4,2143.0,5.0,160.0,8.8,5.3,4.8,6.0,139.0,58.0,1671.0,4687.0,525.0,47815,5.0,198.0,1660.0,1903.0
COMMON.COLOR_GRAY,1,51359384,91718,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 140kW 190CV Executive RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,30500,profesional,BODY_TYPE_4X4,2143.0,5.0,190.0,7.6,5.3,4.8,6.0,139.0,58.0,1671.0,4687.0,525.0,50315,5.0,210.0,1660.0,1903.0
COMMON.COLOR_RED,2,50908025,34220,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO MiTo 1.4 57kW 78CV URBAN 3p.,COMMON.TRANSMISSION_MANUAL,2,2018,ALFA ROMEO,1,MiTo,907.0,13900,profesional,BODY_TYPE_SEDAN,1368.0,3.0,78.0,13.0,5.6,4.6,7.3,130.0,45.0,1446.0,4063.0,270.0,14700,5.0,165.0,1070.0,1720.0
COMMON.COLOR_RED,1,50021968,26000,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Executive Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,37950,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,5.7,5.2,6.5,147.0,58.0,1671.0,4687.0,525.0,53815,5.0,215.0,1745.0,1903.0
COMMON.COLOR_GRAY,1,51361500,129000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Spider 2.4 JTDm QTronic 2p.,COMMON.TRANSMISSION_MANUAL,2,2019,ALFA ROMEO,1,Spider,208.0,23490,profesional,BODY_TYPE_CABRIO,2387.0,2.0,200.0,8.5,7.9,5.8,11.4,208.0,70.0,1318.0,4393.0,200.0,43952,2.0,225.0,1655.0,1830.0
COMMON.COLOR_BLUE,1,51329308,40352,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Giulia 2.2 Diesel 110kW 150CV Super 4p.,COMMON.TRANSMISSION_MANUAL,2,2017,ALFA ROMEO,1,Giulia,1185.0,24699,profesional,BODY_TYPE_SEDAN,2143.0,4.0,150.0,8.4,4.2,3.5,5.3,109.0,52.0,1436.0,4643.0,480.0,37700,5.0,220.0,1374.0,1860.0
COMMON.COLOR_GRAY,1,51140476,67959,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulia 2.2 Diesel 180cv Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2016,ALFA ROMEO,1,Giulia,1185.0,23499,profesional,BODY_TYPE_SEDAN,2143.0,4.0,180.0,6.8,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,40350,5.0,230.0,1445.0,1860.0
COMMON.COLOR_RED,2,51366387,59700,ALFA ROMEO,1,Sta. C. Tenerife,38,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Giulia AT,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulia,1185.0,19990,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,38875,5.0,235.0,1429.0,1860.0
COMMON.COLOR_RED,2,51366342,59700,ALFA ROMEO,1,Las Palmas,35,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Giulia AT,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulia,1185.0,19990,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,38875,5.0,235.0,1429.0,1860.0
COMMON.COLOR_RED,1,51257039,18162,ALFA ROMEO,1,Zaragoza,50,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV TCT Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulietta,872.0,18900,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.2,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,28170,5.0,195.0,1320.0,1798.0
COMMON.COLOR_RED,1,51256323,11067,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Stelvio 2.2 Diesel 110kW 150CV Stelvio RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,35199,profesional,BODY_TYPE_4X4,2143.0,5.0,150.0,8.8,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,41840,5.0,198.0,1604.0,1903.0
COMMON.COLOR_RED,2,51366101,66724,ALFA ROMEO,1,Valencia,46,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,27500,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,41690,5.0,235.0,1429.0,1860.0
COMMON.COLOR_RED,1,50861583,77348,ALFA ROMEO,1,Valencia,46,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,32990,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_RED,2,51365829,66724,ALFA ROMEO,1,Zaragoza,50,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,27500,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,41690,5.0,235.0,1429.0,1860.0
COMMON.COLOR_GRAY,1,50806658,112126,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Giulietta 1.6 JTDm 105cv Progression 5p.,COMMON.TRANSMISSION_MANUAL,2,2014,ALFA ROMEO,1,Giulietta,872.0,10299,profesional,BODY_TYPE_SEDAN,1598.0,5.0,105.0,11.3,4.0,3.4,5.0,104.0,60.0,1465.0,4351.0,350.0,22290,5.0,185.0,1310.0,1798.0
COMMON.COLOR_RED,2,51365555,66724,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,27500,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,41690,5.0,235.0,1429.0,1860.0
COMMON.COLOR_WHITE,1,51365298,100719,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_RED,2,49908253,61424,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Stelvio 2.9 Gasolina 375kW 510CV Quadrifogl Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,69900,profesional,BODY_TYPE_4X4,2891.0,5.0,510.0,3.8,9.8,8.4,12.3,227.0,64.0,1681.0,4702.0,525.0,106000,5.0,283.0,1830.0,1955.0
COMMON.COLOR_WHITE,1,51365077,100719,ALFA ROMEO,1,Sevilla,41,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_RED,1,50424076,86241,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Stelvio RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,28990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,43340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_RED,1,50777719,63275,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,30199,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_RED,2,51364637,66724,ALFA ROMEO,1,Albacete,2,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,27500,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,41690,5.0,235.0,1429.0,1860.0
COMMON.COLOR_WHITE,1,51364420,100719,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_RED,1,51299705,125750,ALFA ROMEO,1,Valencia,46,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,23990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,45340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_GRAY,1,51117600,105990,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,26990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,45365,5.0,210.0,1604.0,1903.0
COMMON.COLOR_RED,1,51359918,94995,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulietta 1.6 JTDm 120cv Distinctive 5p.,COMMON.TRANSMISSION_MANUAL,2,2016,ALFA ROMEO,1,Giulietta,872.0,13490,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25000,5.0,195.0,1310.0,1798.0
COMMON.COLOR_WHITE,1,51364147,67000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulia 2.2 Diesel 132kW 180CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulia,1185.0,24990,profesional,BODY_TYPE_SEDAN,2143.0,4.0,180.0,6.8,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,42040,5.0,230.0,1445.0,1860.0
COMMON.COLOR_WHITE,1,51363922,100719,ALFA ROMEO,1,Valencia,46,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_BLACK,1,51363500,205000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO 159 2.0 JTDM 170CV Sport Plus 4p.,COMMON.TRANSMISSION_MANUAL,2,2010,ALFA ROMEO,1,159,60.0,7900,profesional,BODY_TYPE_SEDAN,1956.0,4.0,170.0,8.8,5.4,4.4,7.0,142.0,70.0,1422.0,4660.0,405.0,30180,5.0,218.0,1490.0,1828.0
COMMON.COLOR_RED,1,50073609,76000,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Executive Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,31900,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,52035,5.0,215.0,1659.0,1903.0
COMMON.COLOR_RED,1,51331840,90600,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV TCT Super 5p.,COMMON.TRANSMISSION_MANUAL,2,2018,ALFA ROMEO,1,Giulietta,872.0,14900,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.2,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,28170,5.0,195.0,1320.0,1798.0
COMMON.COLOR_BLUE,1,50447332,71335,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Speciale AWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,29390,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,53690,5.0,215.0,1659.0,1903.0
COMMON.COLOR_WHITE,2,51303178,104000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulia 2.9T V6 375kW 510CV Quadrifoglio 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulia,1185.0,57490,profesional,BODY_TYPE_SEDAN,2891.0,4.0,510.0,3.9,8.5,6.0,12.8,198.0,58.0,1426.0,4639.0,480.0,87489,4.0,307.0,1580.0,1873.0
COMMON.COLOR_RED,1,50964625,218489,ALFA ROMEO,1,Sevilla,41,ALFA ROMEO MiTo 1.3 JTDm 95CV SS Distinctive 3p.,COMMON.TRANSMISSION_MANUAL,2,2011,ALFA ROMEO,1,MiTo,907.0,5790,profesional,BODY_TYPE_SEDAN,1248.0,3.0,95.0,11.6,4.3,3.6,5.5,112.0,45.0,1446.0,4063.0,270.0,18310,4.0,180.0,1150.0,1720.0
COMMON.COLOR_GRAY,1,51362618,91100,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,29990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,46340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_GRAY,1,51362597,91100,ALFA ROMEO,1,Salamanca,37,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,29990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,46340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_WHITE,2,51362580,63550,ALFA ROMEO,1,Zaragoza,50,ALFA ROMEO Stelvio 2.0 Gasolina 147kW 200CV Executive Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,35990,profesional,BODY_TYPE_4X4,1995.0,5.0,201.0,7.2,7.0,5.9,8.9,161.0,64.0,1671.0,4687.0,525.0,50661,5.0,215.0,1660.0,1903.0
COMMON.COLOR_GRAY,1,51362573,91100,ALFA ROMEO,1,Ávila,5,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,29990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,46340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_BLACK,1,48956971,121000,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Giulietta 2.0 JTDm 170cv TCT Distinctive 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2012,ALFA ROMEO,1,Giulietta,872.0,9900,profesional,BODY_TYPE_SEDAN,1956.0,5.0,170.0,7.9,4.5,4.0,5.3,119.0,60.0,1465.0,4351.0,350.0,28897,5.0,218.0,1340.0,1798.0
COMMON.COLOR_RED,1,51268859,39990,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,33990,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48300,5.0,215.0,1659.0,1903.0
COMMON.COLOR_BLACK,1,51291257,80000,ALFA ROMEO,1,Valladolid,47,ALFA ROMEO Giulia 2.2 Diesel 110kW 150CV Executive AT 4p.,COMMON.TRANSMISSION_MANUAL,2,2018,ALFA ROMEO,1,Giulia,1185.0,18900,profesional,BODY_TYPE_SEDAN,2143.0,4.0,150.0,8.1,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,43064,5.0,220.0,1445.0,1860.0
COMMON.COLOR_WHITE,1,51360923,100719,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_BLACK,1,50179331,121000,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Giulietta 2.0 JTDm 170cv TCT Distinctive 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2012,ALFA ROMEO,1,Giulietta,872.0,9900,profesional,BODY_TYPE_SEDAN,1956.0,5.0,170.0,7.9,4.5,4.0,5.3,119.0,60.0,1465.0,4351.0,350.0,28897,5.0,218.0,1340.0,1798.0
COMMON.COLOR_WHITE,2,50575841,23975,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.9 Gasolina 375kW 510CV Quadrifogl Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,71950,profesional,BODY_TYPE_4X4,2891.0,5.0,510.0,3.8,9.8,8.4,12.3,222.0,64.0,1681.0,4702.0,525.0,108600,5.0,283.0,1830.0,1955.0
COMMON.COLOR_RED,1,51263110,103425,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Speciale AWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,31900,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,53690,5.0,215.0,1659.0,1903.0
COMMON.COLOR_RED,1,51182491,75010,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Speciale AWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,33500,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,52850,5.0,215.0,1659.0,1903.0
COMMON.COLOR_GRAY,1,51360070,112000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulia 2.2 Diesel 110kW 150CV Executive AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,26990,profesional,BODY_TYPE_SEDAN,2143.0,4.0,150.0,8.1,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,43064,5.0,220.0,1445.0,1860.0
COMMON.COLOR_GRAY,1,51359453,91718,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Stelvio 2.2 Diesel 140kW 190CV Executive RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,30500,profesional,BODY_TYPE_4X4,2143.0,5.0,190.0,7.6,5.3,4.8,6.0,139.0,58.0,1671.0,4687.0,525.0,50315,5.0,210.0,1660.0,1903.0
COMMON.COLOR_BLUE,1,51359158,130813,ALFA ROMEO,1,Guadalajara,19,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,30490,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_WHITE,2,51359157,56405,ALFA ROMEO,1,Guadalajara,19,ALFA ROMEO Stelvio 2.0 Petrol 206kW 280CV First Ed.I Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,32490,profesional,BODY_TYPE_4X4,1995.0,5.0,280.0,5.7,7.0,5.9,8.9,161.0,64.0,1688.0,4687.0,525.0,62000,5.0,230.0,1660.0,1903.0
COMMON.COLOR_WHITE,1,50651158,70448,ALFA ROMEO,1,Castellón,12,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_MANUAL,2,2017,ALFA ROMEO,1,Giulietta,872.0,14500,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_WHITE,1,50651048,70448,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_MANUAL,2,2017,ALFA ROMEO,1,Giulietta,872.0,14500,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_BROWN,1,50393499,102068,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,30750,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_BLACK,1,51323163,20826,ALFA ROMEO,1,Almería,4,ALFA ROMEO Stelvio 2.2 Diesel 118kW 160CV Stelvio RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,35900,profesional,BODY_TYPE_4X4,2143.0,5.0,160.0,8.8,5.3,4.8,6.0,138.0,58.0,1671.0,4687.0,525.0,43645,5.0,198.0,1660.0,1903.0
